episode,episode_reward,smoothed_reward
712,-4117.0,-243913.76999999996
713,-1002967.0,-243912.36999999997
714,-1003691.0,-243914.06
715,-3050.0,-233918.25999999998
716,-4230.0,-233924.14999999997
717,-3398.0,-233924.1
718,-3897.0,-233923.42
719,-4304.0,-233920.3
720,-3906.0,-233923.58
721,-3104.0,-233932.59999999998
722,-1003714.0,-223930.55999999994
723,-1004252.0,-223924.00999999998
724,-4300.0,-233896.66999999995
725,-3594.0,-233893.11999999997
726,-4504.0,-233885.66999999998
727,-1003414.0,-233899.06999999998
728,-1003901.0,-233905.83000000002
729,-1004254.0,-233918.39000000004
730,-3059.0,-223922.47000000003
731,-1004272.0,-223920.69000000003
732,-4322.0,-223920.25000000003
733,-1004254.0,-223932.46
734,-4290.0,-223930.3
735,-4286.0,-233919.51999999996
736,-3038.0,-223921.22999999998
737,-4188.0,-223926.88999999998
738,-1003167.0,-243922.22999999998
739,-3906.0,-243914.87000000002
740,-3728.0,-243911.74
741,-4278.0,-233906.69999999998
742,-3571.0,-233907.29
743,-3605.0,-223911.30000000002
744,-4276.0,-223911.16000000003
745,-4272.0,-203914.88
746,-3954.0,-203913.14
747,-3924.0,-203920.83
748,-3393.0,-203911.74
749,-4266.0,-203917.08999999997
750,-3956.0,-203908.05
751,-3752.0,-213911.05
752,-4686.0,-213911.01
753,-3038.0,-213908.62
754,-2003664.0,-223911.56
755,-3046.0,-213909.03999999998
756,-4300.0,-213914.14999999997
757,-3084.0,-203923.18999999997
758,-4496.0,-203921.93000000002
759,-4280.0,-203919.19000000003
760,-3385.0,-203902.99000000002
761,-4312.0,-213883.32
762,-3768.0,-203881.87000000002
763,-3560.0,-203879.72
764,-4274.0,-193893.15
765,-3752.0,-183892.00999999998
766,-4077.0,-183904.28999999998
767,-3910.0,-183904.53999999998
768,-3974.0,-183908.09999999998
769,-1003006.0,-183915.68
770,-4830.0,-183915.52
771,-4286.0,-183912.19999999998
772,-3659.0,-183915.22999999998
773,-1002633.0,-173920.75000000003
774,-2840.0,-173915.51
775,-3539.0,-173906.71000000002
776,-5216.0,-173902.73
777,-4950.0,-173902.11000000002
778,-5576.0,-163910.91000000003
779,-4292.0,-153909.4
780,-3736.0,-143897.01
781,-3744.0,-143902.39
782,-4278.0,-143897.7
783,-4372.0,-143890.53
784,-1003536.0,-133883.72
785,-4910.0,-133880.64
786,-4146.0,-133867.99
787,-2003508.0,-163876.01
788,-4054.0,-163876.96999999997
789,-3077.0,-153884.72
790,-3398.0,-153897.36000000002
791,-3982.0,-153895.95
792,-4276.0,-153888.65000000002
793,-4288.0,-153895.96000000002
794,-3728.0,-153898.98999999996
795,-3742.0,-153895.33
796,-4608.0,-163880.8
797,-3921.0,-163877.38
798,-3935.0,-163875.78000000003
799,-3015.0,-163881.23
800,-1003354.0,-163868.80000000002
801,-4282.0,-173873.42
802,-3911.0,-173888.08
803,-1004274.0,-183883.88
804,-3940.0,-183894.43999999997
